iata,icao,latitude,longitude,name,iso_country
IRA,AGGK,-10.449700355500001,161.897994995,Ngorangora Airport,SB
SCZ,AGGL,-10.7203,165.794998,Santa Cruz/Graciosa Bay/Luova Airport,SB
MUA,AGGM,-8.32797,157.263,Munda Airport,SB
GZO,AGGN,-8.09778022766,156.863998413,Nusatupe Airport,SB
MNY,AGGO,-7.41694,155.565002,Mono Airport,SB
PRS,AGGP,-9.641670227050781,161.4250030517578,Parasi Airport,SB
RNL,AGGR,-11.55,160.062778,Rennell/Tingoa Airport,SB
EGM,AGGS,-8.57889,157.876007,Sege Airport,SB
NNB,AGGT,-10.847994,162.454108,Santa Ana Airport,SB
RUS,AGGU,-9.86167,160.824997,Marau Airport,SB
VAO,AGGV,-7.58556,158.731003,Suavanao Airport,SB
XYA,AGGY,-9.092816,159.21841,Yandina Airport,SB
AGK,AGK,-6.396388888890001,143.853611111,Kagua Airport,PG
KGE,AGKG,-7.3305,157.585,Kaghau Airport,SB
KUE,AGKU,-8.0262,156.94783,Kukudu Airport,SB
KWS,AGKW,-8.360508,160.775127,Kwailabesi Airport,SB
LLM,AGLM,-10.296828,166.327322,Lomlom Airport,SB
NAZ,AGNA,-10.6758,162.2049,Nana Airport,SB
MHM,AGOB,-8.325008,160.80051,Manaoba Airport,SB
GTA,AGOK,-8.738358,158.202836,Gatokae Aerodrome,SB
RIN,AGRC,-8.12639045715332,157.14300537109375,Ringi Cove Airport,SB
RBV,AGRM,-8.168060302734375,157.64300537109375,Ramata Airport,SB
TLG,AGTI,-9.108,160.149166667,Tulaghi Heliport,SB
AHY,AHY,-20.015833333299998,45.535,Ambatolhy Airport,MG
AIC,AIP,7.279422,168.8257,Ailinglaplap Airok Airport,MH
CEX,AK13,65.0518035889,-146.04699707,Chena Hot Springs Airport,US
SOL,AK26,64.5605,-164.4457,Solomon State Field,US
HED,AK33,55.802346,-160.901346,Herendeen Bay Airport,US
TWE,AK49,65.6792984009,-164.798995972,Taylor Airport,US
KTH,AK56,59.9631996155,-158.477005005,Tikchik Lodge Seaplane Base,US
NKI,AK62,55.849602,-133.227994,Naukati Bay Seaplane Base,US
CDL,AK75,65.907699585,-161.925994873,Candle 2 Airport,US
AOS,AK81,57.4715003967,-153.815002441,Amook Bay Seaplane Base,US
BSW,AK97,60.4230995178,-146.145996094,Boswell Bay Airport,US
AKM,AKM,10.8902777778,19.8172222222,Zakuoma Airport,TD
ALZ,ALZ,56.897294,-154.249692,Alitak Seaplane Base,US
YUK,AM-0001,39.202272,46.455204,Syunik Airport,AM
AME,AME,-15.6102777778,37.6813888889,Alto Molocue Airport,MZ
AMY,AMY,-17.686667,45.623889,Ambatomainty Airport,MG
INU,ANYN,-0.547893,166.919525,Nauru International Airport,NR
ANZ,ANZ,-25.0325,132.2748,Angus Downs Airport,AU
CTV,AO-0001,-9.431359,20.311557,Catoca Airport,AO
ANL,AO-0005,-11.4723,16.710899,Andulo Airport,AO
CNZ,AO-CNZ,-13.7106,19.861099,Cangamba Airport,AO
DRC,AO-DRC,-17.981924,20.768061,Dirico Airport,AO
NDF,AO-NDF,-9.280378,14.982432,N'dalatando Airport,AO
AOB,AOB,-4.90416666667,144.635833333,Annanberg Airport,PG
AOD,AOD,11.4773,19.2874,Abou-Deïa Airport,TD
APP,APP,-8.979167,148.103611,Asapa Airport,PG
AQY,AQY,60.968774,-149.119792,Girdwood-Alyeska Airport,US
QRF,AR-0005,-35.145811,-60.480294,Bragado Airport,AR
CVI,AR-0007,-46.37428,-67.59409,Caleta Olivia Airport,AR
CNT,AR-0009,-27.2164,-61.2103,Charata Airport,AR
VGS,AR-0010,-34.995728,-62.999725,General Villegas Airport,AR
LMD,AR-0011,-40.817699,-68.074699,Los Menucos Airport,AR
VCF,AR-0017,-40.700001,-66.150002,Valcheta Airport,AR
CPG,AR-0390,-40.7781,-62.9803,Carmen de Patagones Airport,AR
ARP,ARP,-9.88333333333,149.483333333,Aragip Airport,PG
ASZ,ASZ,-6.009722222220001,150.368611111,Asirim Airport,PG
LYT,AU-0081,-24.1129,152.7156,Lady Elliot Island Airstrip,AU
GYZ,AU-0456,-28.034548,123.81506,Gruyere Airport,AU
WSI,AU-0539,-33.883461,150.712981,Western Sydney International (Nancy-Bird Walton) Airport,AU
AGW,AU-AGW,-12.1456,142.149369,Agnew Airport,AU
AYD,AU-AYD,-19.2908,136.078995,Alroy Downs Airport,AU
BYX,AU-BYX,-13.1981,136.227005,Baniyala Airport,AU
COB,AU-COB,-15.548299789428711,130.96200561523438,Coolibah Airport,AU
CRJ,AU-CRJ,-31.894399642944336,132.29600524902344,Coorabie Airport,AU
CRY,AU-CRY,-15.501899719238281,128.53399658203125,Carlton Hill Airport,AU
CSD,AU-CSD,-17.947999954223633,135.91600036621094,Cresswell Downs Airport,AU
DYM,AU-DYM,-23.761699676513672,141.14500427246094,Diamantina Lakes Airport,AU
HIS,AU-HIS,-20.059999465942383,148.88099670410156,Hayman Island Resort Seaplane Base,AU
HLV,AU-HLV,-15.685799598693848,145.21499633789062,Helenvale Airport,AU
KBD,AU-KBD,-17.398577,124.355565,Kimberley Downs Airport,AU
KGR,AU-KGR,-25.8428,133.292007,Kulgera Airport,AU
PEP,AU-PEP,-14.1442,130.091003,Peppimenarti Airport,AU
RDA,AU-RDA,-18.95330047607422,135.2010040283203,Rockhampton Downs Airport,AU
SSK,AU-SSK,-19.166400909423828,128.1739959716797,Sturt Creek Airport,AU
SWB,AU-SWB,-21.510299682617188,119.36199951171875,Shaw River Airport,AU
TWP,AU-TWP,-17.363300323486328,143.75,Torwood Airport,AU
ZVG,AU-ZVG,-17.7869,127.669998,Springvale Airport,AU
AWR,AWR,-4.122278,144.853292,Awar Airport (unusable),PG
AXF,AXF,38.748317,105.58416,Alxa Left Banner Bayanhot Airport,CN
AXO,AXO,-8.244832,124.219108,Pantar Kabir Airport,ID
AMF,AYAA,-4.10111111111,141.67,Ama Airport,PG
UAE,AYAE,-6.229978,144.664181,Mount Aue Airport,PG
AFR,AYAF,-9.13867,148.390701,Afore Airstrip,PG
AUP,AYAG,-9.927715,149.389951,Agaun Airport,PG
ATP,AYAI,-3.143611,142.346806,Aitape Airport,PG
AIH,AYAK,-7.342777777779999,141.2675,Aiambak Airport,PG
AMU,AYAM,-3.586,141.214333333,Amanab Airport,PG
ADC,AYAN,-7.13722222222,145.744722222,Andakombe Airport,PG
AIE,AYAO,-5.145699978,144.7307003,Aiome Airport,PG
KPM,AYAQ,-5.38166666667,143.924722222,Kompiam Airport,PG
AUJ,AYAT,-4.21566666667,142.823166667,Ambunti Airport,PG
AWB,AYAW,-8.013414,142.752099,Awaba Airport,PG
AEK,AYAX,-7.350805,146.193994,Aseki Airport,PG
AYU,AYAY,-6.33805555556,145.904166667,Aiyura Airport,PG
VMU,AYBA,-7.496955,144.821756,Baimuru Airport,PG
BCP,AYBC,-5.863611111110001,146.4925,Bambu Airport,PG
BNM,AYBD,-9.107777777779999,147.666722222,Bodinumu Airport,PG
BMZ,AYBF,-7.8485,143.2433,Bamu Airport,PG
BDZ,AYBG,-6.34722222222,146.942222222,Baindoung Airport,PG
BSP,AYBH,-8.85805555556,141.259444444,Bensbach Airport,PG
BWP,AYBI,-3.0216666666700003,141.165277778,Bewani Airport,PG
BUA,AYBK,-5.422299,154.672698,Buka Airport,PG
BAA,AYBL,-5.3305602073700005,151.007995605,Bialla Airport,PG
OPU,AYBM,-8.05000019073,142.932998657,Balimo Airport,PG
BMH,AYBO,-6.37316666667,144.637,Bomai Airport,PG
BPD,AYBP,-7.743611111110001,147.020555556,Bapi Airstrip,PG
BPK,AYBQ,-5.526389,141.744583,Biangabip Airport,PG
BRP,AYBR,-7.6693,146.7594,Biaru Airport,PG
BUL,AYBU,-7.216286671410001,146.649541855,Bulolo Airport,PG
XBN,AYBZ,-9.6425,149.303889,Biniguni Airport,PG
CVB,AYCB,-4.80662,144.714996,Chungribu Airport,PG
CGC,AYCG,-5.455231,148.422289,Cape Gloucester Airport,PG
CMU,AYCH,-6.024290084838867,144.9709930419922,Chimbu Airport,PG
SQT,AYCS,-10.5627777778,150.690694444,China Strait Airstrip,PG
DBP,AYDB,-6.30861111111,141.905555556,Debepare Airport,PG
DER,AYDE,-6.14472222222,147.107222222,Derim Airport,PG
BNT,AYDI,-5.742222222220001,145.2275,Bundi Airport,PG
MDM,AYDK,-4.6204,143.4516,Munduku Airport,PG
KPF,AYDL,-8.5336,142.5049,Kondobol Airport,PG
DNU,AYDN,-6.1546,146.6772,Dinangat Airport,PG
DOI,AYDO,-10.7009,150.7218,Doini Airport,PG
DOO,AYDR,-9.461855,147.920907,Dorobisoro Airport,PG
DAU,AYDU,-9.08676,143.207993,Daru Airport,PG
KRU,AYEA,-8.271612,147.071899,Kerau Airport,PG
EMS,AYEB,-9.447,148.7628,Embessa Airport,PG
XYR,AYED,-3.883986,141.792234,Edwaki Airport,PG
EMI,AYEE,-1.653949991,149.9757667,Emirau Airport,PG
EFG,AYEF,-9.15380555556,147.659805556,Efogi Airport,PG
MHY,AYEH,-8.71411111111,141.644444444,Morehead Airport,PG
EPT,AYEL,-5.0412,141.6779,Eliptamin Airport,PG
EGA,AYEN,-6.9179,146.1053,Engati Airstrip,PG
EMO,AYEO,-9.1234,148.0415,Emo River Airstrip,PG
ERU,AYER,-8.2538,146.9747,Erume Airport,PG
MFZ,AYES,-6.1364,149.1183,Meselia Airport,PG
BOT,AYET,-7.237257,141.1063222,Bosset Airport,PG
ERE,AYEV,-6.60646315446,143.900213242,Erave Airport,PG
SWE,AYEW,-6.284181,147.582371,Siwea Airport,PG
FNE,AYFA,-8.54927777778,147.085833333,Fane Airport,PG
FRQ,AYFE,-5.208,141.6988,Feramin Airport,PG
FIN,AYFI,-6.621750109,147.85405,Finschhafen Airport,PG
FAQ,AYFR,-4.610468,141.960138,Frieda River Airport,PG
FUM,AYFU,-6.3933,142.4408,Fuma Airport,PG
